SAMPLE PARAMETERS
Gauge length [mm]: 24.1614
Area [mm2]: 72.7888
EXPERIMENTAL PARAMETERS
Time [s]: 2.5
Number of steps: 1000
Displacement (0) or force control (1): 0
Schedule ID: 0
Omega: 12.5664
Amplitude: 0.5
RESULTS
Time [s],Displacement [mm],Force [N]
0.,0.,1.6550257460093738e-11
0.0025,0.00024671981713423225,0.004071937995389363
0.005,0.0009866357858642238,0.016038760140687756
0.0075,0.0022190176984600244,0.03542968077593252
0.01,0.003942649342761033,0.061825157961352704
0.0125,0.006155829702431095,0.09485125217888697
0.015,0.008856374635655698,0.13417521165936805
0.0175,0.012041619030626373,0.17950213182020552
0.02,0.015708419435684493,0.2305725614575895
0.0225,0.019853157161528506,0.287160948957974
0.025,0.02447174185242324,0.3490748219122212
0.0275,0.02955961552288731,0.4161546013550984
0.03,0.03511175705587435,0.48827394978377753
0.0325,0.04112268715800944,0.5653405537700511
0.035,0.04758647376699031,0.6472972419271966
0.0375,0.054496737905816085,0.7341233400051195
0.04,0.06184665997806825,0.8258361675723014
0.0425,0.06962898649802826,0.9224925805111145
0.045,0.0778360372489925,1.0241904686351564
0.0475,0.08645971286271918,1.1310701189672663
0.05,0.09549150281252629,1.2433153605491905
0.0525,0.10492249381215485,1.3611544112128091
0.055,0.1147433786121054,1.484860349401479
0.0575,0.12494446518477025,1.6147511458822814
0.06,0.1355156862892943,1.7511891901142786
0.0625,0.14644660940672627,1.8945802590331766
0.065,0.1577264470356557,2.045371884238389
0.0675,0.16934406733817411,2.2040510795281967
0.07,0.1812880051256552,2.3711414070118133
0.0725,0.19354647317351184,2.5471993663449775
0.075,0.2061073738537635,2.7328101083643572
0.0775,0.2189583110739347,2.928582484515433
0.08,0.23208660251050175,3.135143457731732
0.0825,0.24547929212481442,3.353131915183504
0.085,0.25912316294914245,3.5831919352764388
0.08750000000000001,0.2730047501302266,3.8259655765569582
0.09,0.2871103542174637,4.082085266217957
0.0925,0.3014260546826098,4.352165879483577
0.095,0.31593772365766115,4.636796610149934
0.0975,0.3306310398773544,4.936532740328181
0.1,0.34549150281252633,5.251887422228242
0.10250000000000001,0.3605044469803854,5.5833235922336835
