SAMPLE PARAMETERS
Gauge length [mm]: 22.3241
Area [mm2]: 75.98
EXPERIMENTAL PARAMETERS
Time [s]: 50
Number of steps: 1000
Displacement (0) or force control (1): 0
Schedule ID: 0
       Pi
Omega: --
       5
Amplitude: 0.5
RESULTS
Time [s],Displacement [mm],Force [N]
0,0.,0.
0.05,0.00024671981713419224,0.002914000740736798
0.1,0.0009866357858642149,0.01107415461385116
0.15,0.002219017698460033,0.023671477257501232
0.2,0.003942649342761098,0.04034728102265152
0.25,0.0061558297024310905,0.06086940986732225
0.3,0.008856374635655678,0.08505120476942153
0.35,0.012041619030626317,0.11273079734141772
0.4,0.015708419435684462,0.14376561925014564
0.45,0.019853157161528485,0.17803094233421968
0.5,0.02447174185242327,0.2154196511783863
0.55,0.02955961552288731,0.2558425193264322
0.6,0.03511175705587427,0.2992287725055797
0.65,0.04112268715800942,0.3455268490175519
0.7,0.04758647376699029,0.3947052946465478
0.75,0.05449673790581607,0.4467537399473921
0.8,0.06184665997806823,0.5016839075166802
0.85,0.06962898649802815,0.5595305980380274
0.9,0.07783603724899248,0.6203526064780985
0.95,0.0864597128627191,0.6842335182253018
1,0.09549150281252626,0.7512823400408322
1.05,0.10492249381215481,0.8216339218890184
1.1,0.11474337861210536,0.8954491287813114
1.15,0.12494446518477023,0.9729147262783658
1.2,0.13551568628929422,1.0542429486773355
1.25,0.1464466094067263,1.1396707218283528
1.3,0.15772644703565572,1.2294585228613717
1.35,0.16934406733817411,1.323888860889063
1.4,0.1812880051256552,1.423264374796403
1.45,0.1935464731735118,1.5279055494688825
1.5,0.20610737385376343,1.6381480608901757
1.55,0.2189583110739347,1.754339770282702
1.6,0.23208660251050167,1.8768373940564906
1.65,0.24547929212481437,2.0060028856951817
1.7,0.25912316294914234,2.1421995753402125
1.75,0.2730047501302266,2.2857881152339297
1.8,0.28711035421746367,2.437122290483509
1.85,0.3014260546826097,2.596544754619162
1.9,0.3159377236576611,2.7643827545437847
1.95,0.33063103987735437,2.9409439103888797
2,0.34549150281252633,3.126512113430792
2.05,0.36050444698038536,3.3213436039244466
2.1,0.3756550564175727,3.525663284475702
2.15,0.39092837930172875,3.7396613191693273
2.2,0.4063093427071377,3.9634900597898786
2.25,0.42178276747988463,4.19726133143138
2.3,0.4373333832178479,4.441044099896903
2.35,0.4529458433407429,4.694862533037036
2.4,0.4686047402353433,4.958694457693019
2.45,0.48429462046093585,5.232470204884528
2.5,0.5,5.516071826518429
2.55,0.5157053795390641,5.809332660802705
2.6,0.5313952597646567,6.112037217617564
2.65,0.5470541566592572,6.4239213502777
2.7,0.5626666167821521,6.744672679918473
2.75,0.5782172325201155,7.073931237998273
2.8,0.5936906572928624,7.411290293231218
2.85,0.6090716206982714,7.756297333274589
2.9,0.6243449435824274,8.108455176147393
2.95,0.6394955530196147,8.467223188797181
3,0.6545084971874737,8.832018600220135
3.05,0.6693689601226457,9.202217896985585
3.1,0.684062276342339,9.577158300109625
3.15,0.6985739453173904,9.956139321687662
3.2,0.7128896457825363,10.33842440999473
3.25,0.7269952498697734,10.723242689853263
3.3,0.7408768370508577,11.10979081299404
3.35,0.7545207078751857,11.497234930175447
3.4,0.7679133974894984,11.884712800858983
3.45,0.7810416889260653,12.271336054763843
3.5,0.7938926261462367,12.656192618299022
3.55,0.8064535268264882,13.038349316860959
3.6,0.8187119948743449,13.416854662599222
3.65,0.8306559326618259,13.790741831794415
3.7,0.8422735529643445,14.159031835845894
3.75,0.8535533905932737,14.520736882414676
3.8,0.8644843137107058,14.87486392176191
3.85,0.8750555348152298,15.22041836941947
3.9,0.8852566213878947,15.556407991641183
3.95,0.8950775061878453,15.881846936546337
4,0.9045084971874738,16.195759891264643
4.05,0.913540287137281,16.49718634240154
4.1,0.9221639627510076,16.78518491365435
4.15,0.9303710135019718,17.058837752470954
4.2,0.9381533400219317,17.317254937479266
4.25,0.9455032620941839,17.559578873761886
4.3,0.9524135262330099,17.7849886456168
4.35,0.9588773128419906,17.992704293365154
4.4,0.9648882429441258,18.181990980656444
4.45,0.9704403844771128,18.352163022562245
4.5,0.9755282581475768,18.502587738641548
4.55,0.9801468428384716,18.632689103286456
4.6,0.9842915805643156,18.74195116082527
4.65,0.9879583809693737,18.829921179050682
4.7,0.9911436253643444,18.896212513015776
4.75,0.993844170297569,18.940507155196418
4.8,0.996057350657239,18.962557948185108
4.85,0.99778098230154,18.962190441698652
4.9,0.9990133642141359,18.939304374085996
4.95,0.9997532801828659,18.893874763216758
5,1.,18.825952595622866
5.05,0.9997532801828659,18.735941153509422
5.1,0.9990133642141359,18.625097079820257
5.15,0.99778098230154,18.492368019681592
5.2,0.996057350657239,18.338105793889405
5.25,0.993844170297569,18.162735347897165
5.3,0.9911436253643444,17.966752916045312
5.35,0.9879583809693737,17.75072377247636
5.4,0.9842915805643156,17.52049669255479
5.45,0.9801468428384716,17.282431186708237
5.5,0.9755282581475768,17.026409218084044
5.55,0.9704403844771128,16.753227872297796
5.6,0.9648882429441258,16.463735967381833
5.65,0.9588773128419906,16.158829613660835
5.7,0.9524135262330099,15.839447488527595
5.75,0.9455032620941839,15.50656585461411
5.8,0.9381533400219317,15.16119335129532
5.85,0.9303710135019718,14.804365592335468
5.9,0.9221639627510076,14.437139604116771
5.95,0.913540287137281,14.060588140565947
6,0.9045084971874738,13.675793913342865
6.05,0.8950775061878453,13.28384377715738
6.1,0.8852566213878947,12.88582291167606
6.15,0.8750555348152298,12.482809043023806
6.2,0.8644843137107058,12.075866749625987
6.25,0.8535533905932737,11.666041897549905
6.3,0.8422735529643445,11.254356252422856
6.35,0.8306559326618259,10.841802314822482
6.4,0.8187119948743449,10.429338426970103
6.45,0.8064535268264882,10.017884198970476
6.5,0.7938926261462367,9.608316301381606
6.55,0.7810416889260653,9.201464670435502
6.6,0.7679133974894984,8.79810917104522
6.65,0.7545207078751857,8.398976759036522
6.7,0.7408768370508577,8.004739181637772
6.75,0.7269952498697734,7.616011250027487
